Month,Commodity Index
Jan-2007,46.5
Feb-2007,47.8
Mar-2007,48.0
Apr-2007,47.6
May-2007,47.9
Jun-2007,46.3
Jul-2007,45.4
Aug-2007,46.8
Sep-2007,48.0
Oct-2007,46.8
Nov-2007,47.5
Dec-2007,48.9
Jan-2008,49.7
Feb-2008,50.6
Mar-2008,52.8
Apr-2008,56.6
May-2008,58.6
Jun-2008,62.0
Jul-2008,64.6
Aug-2008,69.4
Sep-2008,74.8
Oct-2008,83.5
Nov-2008,81.6
Dec-2008,74.9
Jan-2009,71.7
Feb-2009,72.3
Mar-2009,66.7
Apr-2009,57.4
May-2009,50.8
Jun-2009,50.3
Jul-2009,49.4
Aug-2009,49.1
Sep-2009,48.9
Oct-2009,47.1
Nov-2009,48.2
Dec-2009,49.6
Jan-2010,50.6
Feb-2010,52.7
Mar-2010,52.5
Apr-2010,59.4
May-2010,64.2
Jun-2010,66.4
Jul-2010,67.1
Aug-2010,67.7
Sep-2010,65.5
Oct-2010,62.4
Nov-2010,62.9
Dec-2010,65.0
Jan-2011,67.5
Feb-2011,69.8
Mar-2011,70.9
Apr-2011,72.0
May-2011,73.2
Jun-2011,74.1
Jul-2011,73.0
Aug-2011,74.6
Sep-2011,74.8
Oct-2011,72.5
Nov-2011,69.2
Dec-2011,66.8
Jan-2012,64.8
Feb-2012,63.4
Mar-2012,65.0
Apr-2012,64.8
May-2012,65.8
Jun-2012,64.2
Jul-2012,61.9
Aug-2012,59.2
Sep-2012,56.4
Oct-2012,55.4
Nov-2012,55.3
Dec-2012,55.6
Jan-2013,58.6
Feb-2013,60.7
Mar-2013,59.4
Apr-2013,58.5
May-2013,59.4
Jun-2013,59.6
Jul-2013,61.0
Aug-2013,62.0
Sep-2013,61.2
Oct-2013,59.5
Nov-2013,60.2
Dec-2013,63.2
Jan-2014,63.2
Feb-2014,62.0
Mar-2014,58.9
Apr-2014,56.3
May-2014,54.4
Jun-2014,52.2
Jul-2014,51.3
Aug-2014,50.8
Sep-2014,50.8
Oct-2014,50.4
Nov-2014,50.1
Dec-2014,50.4
Jan-2015,51.1
Feb-2015,50.6
Mar-2015,48.3
Apr-2015,45.6
May-2015,45.1
Jun-2015,46.5
Jul-2015,46.0
Aug-2015,46.1
Sep-2015,47.6
Oct-2015,45.7
Nov-2015,43.5
Dec-2015,41.0
Jan-2016,41.3
Feb-2016,42.0
Mar-2016,42.3
Apr-2016,42.4
May-2016,43.9
Jun-2016,43.1
Jul-2016,43.8
Aug-2016,44.9
Sep-2016,46.1
Oct-2016,48.2
Nov-2016,54.9
Dec-2016,58.6
Jan-2017,58.7
Feb-2017,58.4
Mar-2017,57.8
Apr-2017,55.8
May-2017,54.3
Jun-2017,52.1
Jul-2017,51.5
Aug-2017,52.8
Sep-2017,53.5
Oct-2017,52.6
Nov-2017,54.3
Dec-2017,55.8
Jan-2018,57.3
Feb-2018,59.7
Mar-2018,59.3
Apr-2018,58.2
May-2018,59.9
Jun-2018,60.2
Jul-2018,61.1
Aug-2018,62.1
Sep-2018,64.7
Oct-2018,66.6
Nov-2018,65.3
Dec-2018,64.6
Jan-2019,67.0
Feb-2019,69.0
Mar-2019,70.1
Apr-2019,68.4
May-2019,71.1
Jun-2019,71.9
Jul-2019,73.1
Aug-2019,71.9
Sep-2019,69.2
Oct-2019,66.7
Nov-2019,66.2
Dec-2019,65.5
Jan-2020,66.1
Feb-2020,67.7
Mar-2020,71.6
Apr-2020,68.5
May-2020,66.7
Jun-2020,63.2
Jul-2020,61.7
Aug-2020,62.0
Sep-2020,62.5
Oct-2020,64.5
Nov-2020,66.1
