Month,Cash Rate (%),AUD/USD exchange rate
May-1976,7.71,
Jun-1976,8.02,
Jul-1976,7.57,
Aug-1976,7.75,
Sep-1976,7.46,
Oct-1976,7.28,
Nov-1976,7.18,
Dec-1976,6.37,
Jan-1977,7.46,
Feb-1977,7.42,
Mar-1977,7.58,
Apr-1977,7.36,
May-1977,8.64,
Jun-1977,9.52,
Jul-1977,9.34,
Aug-1977,9.67,
Sep-1977,9.47,
Oct-1977,8.86,
Nov-1977,9.16,
Dec-1977,9.15,
Jan-1978,8.76,
Feb-1978,8.42,
Mar-1978,7.95,
Apr-1978,7.67,
May-1978,9.11,
Jun-1978,9.04,
Jul-1978,8.81,
Aug-1978,9.01,
Sep-1978,9.18,
Oct-1978,9.4,
Nov-1978,7.97,
Dec-1978,8.32,
Jan-1979,8.18,
Feb-1979,7.83,
Mar-1979,8.18,
Apr-1979,8.61,
May-1979,9.45,
Jun-1979,8.71,
Jul-1979,10.06,
Aug-1979,10.63,
Sep-1979,9.41,
Oct-1979,9.05,
Nov-1979,8.99,
Dec-1979,9.5,
Jan-1980,9.24,
Feb-1980,8.86,
Mar-1980,10.41,
Apr-1980,10.68,
May-1980,13.72,
Jun-1980,13.73,
Jul-1980,12.86,
Aug-1980,12.42,
Sep-1980,11.23,
Oct-1980,9.83,
Nov-1980,10.33,
Dec-1980,10.88,
Jan-1981,10.68,
Feb-1981,11.0,
Mar-1981,11.99,
Apr-1981,13.09,
May-1981,14.19,
Jun-1981,15.33,
Jul-1981,15.44,
Aug-1981,15.0,
Sep-1981,14.68,
Oct-1981,14.34,
Nov-1981,14.54,
Dec-1981,15.62,
Jan-1982,14.99,
Feb-1982,15.2,
Mar-1982,16.08,
Apr-1982,19.09,
May-1982,18.39,
Jun-1982,17.58,
Jul-1982,16.51,
Aug-1982,20.77,
Sep-1982,16.1,
Oct-1982,15.7,
Nov-1982,14.0,
Dec-1982,11.46,
Jan-1983,12.36,
Feb-1983,12.68,
Mar-1983,16.73,
Apr-1983,12.61,
May-1983,11.9,
Jun-1983,11.74,
Jul-1983,10.35,
Aug-1983,10.67,
Sep-1983,10.98,
Oct-1983,10.24,
Nov-1983,9.97,
Dec-1983,4.76,
Jan-1984,9.13,
Feb-1984,9.78,
Mar-1984,12.55,
Apr-1984,15.15,
May-1984,14.08,
Jun-1984,12.33,
Jul-1984,12.19,
Aug-1984,11.61,
Sep-1984,11.07,
Oct-1984,11.14,
Nov-1984,11.52,
Dec-1984,12.01,
Jan-1985,11.27,
Feb-1985,11.64,
Mar-1985,13.97,
Apr-1985,15.4,
May-1985,15.84,
Jun-1985,18.92,
Jul-1985,15.48,
Aug-1985,16.5,
Sep-1985,16.41,
Oct-1985,16.09,
Nov-1985,18.12,
Dec-1985,19.39,
Jan-1986,18.91,
Feb-1986,18.58,
Mar-1986,17.29,
Apr-1986,17.15,
May-1986,15.11,
Jun-1986,15.44,
Jul-1986,14.71,
Aug-1986,17.78,
Sep-1986,17.7,
Oct-1986,16.64,
Nov-1986,16.35,
Dec-1986,15.5,
Jan-1987,16.62,
Feb-1987,16.43,
Mar-1987,16.23,
Apr-1987,14.8,
May-1987,14.26,
Jun-1987,13.19,
Jul-1987,12.43,
Aug-1987,12.16,
Sep-1987,11.8,
Oct-1987,11.3,
Nov-1987,11.69,
Dec-1987,11.3,
Jan-1988,10.62,
Feb-1988,10.66,
Mar-1988,10.87,
Apr-1988,11.3,
May-1988,12.58,
Jun-1988,13.07,
Jul-1988,12.71,
Aug-1988,12.91,
Sep-1988,13.07,
Oct-1988,13.41,
Nov-1988,14.33,
Dec-1988,14.59,
Jan-1989,14.82,
Feb-1989,15.77,
Mar-1989,16.51,
Apr-1989,16.71,
May-1989,17.29,
Jun-1989,17.73,
Jul-1989,17.92,
Aug-1989,17.86,
Sep-1989,18.06,
Oct-1989,18.05,
Nov-1989,18.19,
Dec-1989,18.16,
Jan-1990,17.81,
Feb-1990,16.8,
Mar-1990,16.43,
Apr-1990,15.17,
May-1990,15.02,
Jun-1990,15.05,
Jul-1990,15.02,
Aug-1990,14.07,
Sep-1990,14.05,
Oct-1990,13.47,
Nov-1990,13.05,
Dec-1990,12.68,
Jan-1991,12.02,
Feb-1991,12.01,
Mar-1991,12.02,
Apr-1991,11.58,
May-1991,10.99,
Jun-1991,10.54,
Jul-1991,10.49,
Aug-1991,10.52,
Sep-1991,9.59,
Oct-1991,9.49,
Nov-1991,8.64,
Dec-1991,8.52,
Jan-1992,7.75,
Feb-1992,7.52,
Mar-1992,7.54,
Apr-1992,7.51,
May-1992,6.69,
Jun-1992,6.57,
Jul-1992,5.93,
Aug-1992,5.86,
Sep-1992,5.74,
Oct-1992,5.74,
Nov-1992,5.77,
Dec-1992,5.79,
Jan-1993,5.75,
Feb-1993,5.74,
Mar-1993,5.62,
Apr-1993,5.25,
May-1993,5.26,
Jun-1993,5.27,
Jul-1993,5.24,
Aug-1993,4.77,
Sep-1993,4.72,
Oct-1993,4.69,
Nov-1993,4.71,
Dec-1993,4.73,
Jan-1994,4.71,
Feb-1994,4.71,
Mar-1994,4.72,
Apr-1994,4.69,
May-1994,4.67,
Jun-1994,4.68,
Jul-1994,4.66,
Aug-1994,5.01,
Sep-1994,5.44,
Oct-1994,5.71,
Nov-1994,6.43,
Dec-1994,6.96,
Jan-1995,7.49,
Feb-1995,7.48,
Mar-1995,7.49,
Apr-1995,7.51,
May-1995,7.5,
Jun-1995,7.51,
Jul-1995,7.51,
Aug-1995,7.51,
Sep-1995,7.49,
Oct-1995,7.49,
Nov-1995,7.5,
Dec-1995,7.51,
Jan-1996,7.5,
Feb-1996,7.5,
Mar-1996,7.52,
Apr-1996,7.49,
May-1996,7.51,
Jun-1996,7.51,
Jul-1996,7.51,
Aug-1996,7.01,
Sep-1996,7.01,
Oct-1996,7.0,
Nov-1996,6.58,
Dec-1996,6.23,
Jan-1997,6.04,
Feb-1997,6.01,
Mar-1997,6.04,
Apr-1997,6.05,
May-1997,5.91,
Jun-1997,5.57,
Jul-1997,5.44,
Aug-1997,4.98,
Sep-1997,4.98,
Oct-1997,4.98,
Nov-1997,5.0,
Dec-1997,5.03,
Jan-1998,5.0,
Feb-1998,4.98,
Mar-1998,5.0,
Apr-1998,4.98,
May-1998,5.0,
Jun-1998,5.07,
Jul-1998,4.98,
Aug-1998,4.97,
Sep-1998,4.97,
Oct-1998,4.97,
Nov-1998,4.98,
Dec-1998,4.75,
Jan-1999,4.72,
Feb-1999,4.72,
Mar-1999,4.74,
Apr-1999,4.74,
May-1999,4.75,
Jun-1999,4.76,
Jul-1999,4.74,
Aug-1999,4.73,
