E2 HOUSEHOLD FINANCES – SELECTED RATIOS,,,,,,,,,,,,,,,,,,
Title,Household debt to assets,Housing debt to housing assets,Household debt to income,Housing debt to income,Owner-occupier housing debt to income,Household assets to income,Housing assets to income,Household financial assets to income,,,,,,,,,,
Description,Ratio of household debt to household assets,Ratio of housing debt to housing assets,Ratio of household debt to annualised household disposable income ,Ratio of housing debt to annualised household disposable income ,Ratio of owner-occupier housing debt to annualised household disposable income ,Ratio of total household assets to annualised household disposable income,Ratio of housing assets to annualised household disposable income,Ratio of financial assets to annualised household disposable income,,,,,,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,,,,,,,,,,
Type,Original,Original,Original,Original,Seasonally adjusted,Original,Original,Original,,,,,,,,,,
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,RBA,ABS,ABS,ABS,,,,,,,,,,
Publication date,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,24-Mar-2023,,,,,,,,,,
Series ID,BHFDA,BHFHDHA,BHFDDIT,BHFDDIH,BHFDDIO,BHFADIT,BHFHDI,BHFADIFA,,,,,,,,,,
Mar-1977,,,,,,,,,,,,,,,,,,
Jun-1977,,,,,,,,,,,,,,,,,,
Sep-1977,,,,,,,,,,,,,,,,,,
Dec-1977,,,,,,,,,,,,,,,,,,
Mar-1978,,,,,,,,,,,,,,,,,,
Jun-1978,,,,,,,,,,,,,,,,,,
Sep-1978,,,,,,,,,,,,,,,,,,
Dec-1978,,,,,,,,,,,,,,,,,,
Mar-1979,,,,,,,,,,,,,,,,,,
Jun-1979,,,,,,,,,,,,,,,,,,
Sep-1979,,,,,,,,,,,,,,,,,,
Dec-1979,,,,,,,,,,,,,,,,,,
Mar-1980,,,,,,,,,,,,,,,,,,
Jun-1980,,,,,,,,,,,,,,,,,,
Sep-1980,,,,,,,,,,,,,,,,,,
Dec-1980,,,,,,,,,,,,,,,,,,
Mar-1981,,,,,,,,,,,,,,,,,,
Jun-1981,,,,,,,,,,,,,,,,,,
Sep-1981,,,,,,,,,,,,,,,,,,
Dec-1981,,,,,,,,,,,,,,,,,,
Mar-1982,,,,,,,,,,,,,,,,,,
Jun-1982,,,,,,,,,,,,,,,,,,
Sep-1982,,,,,,,,,,,,,,,,,,
Dec-1982,,,,,,,,,,,,,,,,,,
Mar-1983,,,,,,,,,,,,,,,,,,
Jun-1983,,,,,,,,,,,,,,,,,,
Sep-1983,,,,,,,,,,,,,,,,,,
Dec-1983,,,,,,,,,,,,,,,,,,
Mar-1984,,,,,,,,,,,,,,,,,,
Jun-1984,,,,,,,,,,,,,,,,,,
Sep-1984,,,,,,,,,,,,,,,,,,
Dec-1984,,,,,,,,,,,,,,,,,,
Mar-1985,,,,,,,,,,,,,,,,,,
Jun-1985,,,,,,,,,,,,,,,,,,
Sep-1985,,,,,,,,,,,,,,,,,,
Dec-1985,,,,,,,,,,,,,,,,,,
Mar-1986,,,,,,,,,,,,,,,,,,
Jun-1986,,,,,,,,,,,,,,,,,,
Sep-1986,,,,,,,,,,,,,,,,,,
Dec-1986,,,,,,,,,,,,,,,,,,
Mar-1987,,,,,,,,,,,,,,,,,,
Jun-1987,,,,,,,,,,,,,,,,,,
Sep-1987,,,,,,,,,,,,,,,,,,
Dec-1987,,,,,,,,,,,,,,,,,,
Mar-1988,,,,,,,,,,,,,,,,,,
Jun-1988,,,63.5,,,,,210.9,,,,,,,,,,
Sep-1988,12.0,11.7,63.8,32.0,,529.9,274.1,210.1,,,,,,,,,,
Dec-1988,12.2,11.3,65.7,32.3,,539.8,285.5,209.1,,,,,,,,,,
Mar-1989,12.5,11.4,67.2,33.0,,538.2,288.1,205.3,,,,,,,,,,
Jun-1989,12.9,11.5,69.0,33.0,,535.4,286.2,205.0,,,,,,,,,,
Sep-1989,12.7,11.3,67.9,31.9,,532.7,282.7,206.2,,,,,,,,,,
Dec-1989,12.9,11.5,67.6,31.8,,523.2,276.7,203.4,,,,,,,,,,
Mar-1990,13.1,11.5,67.9,31.5,25.7,516.7,274.3,199.7,,,,,,,,,,
