Source,ABS / RBA,ABS / RBA,RBA,RBA,ABS / RBA,RBA,ABS / RBA,RBA,ABS / RBA,ABS / RBA,ABS / RBA,ABS / RBA,RBA,RBA,RBA,RBA,RBA,RBA,ABS / RBA,ABS / RBA,
Publication date,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,27-Jan-2023,
Series ID,GCPIAG,GCPIAGYP,GCPIEITCYP,GCPIXVIYP,GCPITIYP,GCPITXVIYP,GCPINTIYP,GCPINTXDLYP,GCPIOCPMWMYP,GCPIOCPMTMYP,GCPIAGQP,GCPIAGSAQP,GCPIEITCQP,GCPIXVIQP,GCPITIQP,GCPITXVIQP,GCPINTIQP,GCPINTXDLQP,GCPIOCPMWMQP,GCPIOCPMTMQP,
Jun-1989,53.0 ,7.5 ,6.5 ,6.4 ,6.4 ,5.7 ,6.7 ,6.7 ,6.4 ,6.4 ,2.5 ,2.7 ,2.2 ,1.4 ,2.7 ,1.3 ,1.5 ,1.5 ,1.6 ,1.6 ,
Sep-1989,54.2 ,8.0 ,6.6 ,6.1 ,6.4 ,5.2 ,6.8 ,6.8 ,6.3 ,6.2 ,2.3 ,2.3 ,1.8 ,1.6 ,1.7 ,1.2 ,1.9 ,1.9 ,1.7 ,1.5 ,
Dec-1989,55.2 ,7.8 ,6.8 ,6.2 ,6.5 ,5.0 ,7.0 ,7.0 ,6.4 ,6.2 ,1.8 ,1.7 ,1.4 ,1.6 ,1.0 ,1.3 ,1.8 ,1.8 ,1.7 ,1.7 ,
Mar-1990,56.2 ,8.7 ,6.9 ,6.3 ,6.8 ,5.4 ,7.1 ,7.1 ,6.8 ,6.7 ,1.8 ,1.6 ,1.5 ,1.7 ,1.2 ,1.5 ,1.8 ,1.8 ,1.6 ,1.7 ,
Jun-1990,57.1 ,7.7 ,6.5 ,6.4 ,5.9 ,5.2 ,7.4 ,7.4 ,6.9 ,6.7 ,1.6 ,1.8 ,1.8 ,1.5 ,1.9 ,1.0 ,1.8 ,1.8 ,1.7 ,1.6 ,
Sep-1990,57.5 ,6.1 ,5.7 ,5.9 ,4.7 ,4.6 ,6.9 ,6.9 ,6.7 ,6.5 ,0.7 ,0.9 ,0.8 ,1.0 ,0.4 ,0.7 ,1.3 ,1.3 ,1.5 ,1.3 ,
Dec-1990,59.0 ,6.9 ,6.9 ,6.4 ,6.8 ,4.6 ,7.4 ,7.4 ,6.5 ,6.6 ,2.6 ,2.4 ,2.8 ,1.9 ,3.1 ,1.3 ,2.3 ,2.3 ,1.5 ,1.8 ,
Mar-1991,58.9 ,4.8 ,5.5 ,5.2 ,4.6 ,3.5 ,6.6 ,6.6 ,5.7 ,5.7 ,-0.2 ,-0.2 ,0.0 ,0.8 ,-0.9 ,0.5 ,1.0 ,1.0 ,0.9 ,0.8 ,
Jun-1991,59.0 ,3.3 ,4.3 ,4.7 ,2.8 ,3.1 ,5.8 ,5.8 ,5.0 ,5.0 ,0.2 ,0.3 ,0.6 ,0.9 ,0.1 ,0.6 ,1.1 ,1.1 ,1.0 ,1.0 ,
Sep-1991,59.3 ,3.1 ,4.5 ,4.5 ,3.5 ,3.1 ,5.6 ,5.6 ,4.5 ,4.8 ,0.5 ,0.7 ,1.1 ,1.0 ,1.1 ,0.7 ,1.1 ,1.1 ,1.0 ,1.1 ,
Dec-1991,59.9 ,1.5 ,2.6 ,3.5 ,0.9 ,2.4 ,4.6 ,4.6 ,3.6 ,3.7 ,1.0 ,0.7 ,0.9 ,1.0 ,0.6 ,0.5 ,1.4 ,1.4 ,0.6 ,0.7 ,
Mar-1992,59.9 ,1.7 ,3.1 ,3.7 ,1.6 ,1.9 ,4.8 ,4.8 ,3.1 ,3.3 ,0.0 ,0.0 ,0.5 ,0.6 ,-0.2 ,0.1 ,1.1 ,1.1 ,0.4 ,0.4 ,
Jun-1992,59.7 ,1.2 ,2.7 ,2.8 ,2.0 ,1.5 ,3.7 ,3.7 ,2.7 ,2.8 ,-0.3 ,-0.2 ,0.3 ,0.2 ,0.5 ,0.2 ,0.0 ,0.0 ,0.7 ,0.5 ,
Sep-1992,59.8 ,0.8 ,2.1 ,2.6 ,1.4 ,1.0 ,3.2 ,3.2 ,2.4 ,2.2 ,0.2 ,0.2 ,0.5 ,0.6 ,0.5 ,0.2 ,0.6 ,0.6 ,0.7 ,0.5 ,
Dec-1992,60.1 ,0.3 ,1.9 ,2.2 ,1.7 ,0.9 ,2.2 ,2.2 ,2.2 ,2.0 ,0.5 ,0.3 ,0.7 ,0.7 ,0.9 ,0.5 ,0.5 ,0.5 ,0.4 ,0.6 ,
Mar-1993,60.6 ,1.2 ,2.4 ,2.4 ,2.7 ,1.4 ,2.1 ,2.1 ,2.1 ,2.1 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.5 ,0.9 ,0.9 ,0.4 ,0.6 ,
Jun-1993,60.8 ,1.8 ,2.8 ,2.9 ,2.7 ,1.6 ,2.9 ,2.9 ,2.1 ,2.2 ,0.3 ,0.5 ,0.6 ,0.8 ,0.4 ,0.4 ,0.9 ,0.9 ,0.6 ,0.6 ,
Sep-1993,61.1 ,2.2 ,2.9 ,3.0 ,2.9 ,2.2 ,2.9 ,2.9 ,1.9 ,2.3 ,0.5 ,0.5 ,0.6 ,0.7 ,0.7 ,0.8 ,0.5 ,0.5 ,0.5 ,0.6 ,
Dec-1993,61.2 ,1.8 ,2.6 ,2.8 ,2.4 ,1.8 ,2.9 ,2.9 ,2.1 ,2.3 ,0.2 ,0.0 ,0.5 ,0.4 ,0.4 ,0.1 ,0.6 ,0.6 ,0.6 ,0.6 ,
Mar-1994,61.5 ,1.5 ,2.2 ,2.6 ,1.9 ,2.1 ,2.5 ,2.5 ,2.1 ,2.3 ,0.5 ,0.5 ,0.5 ,0.7 ,0.5 ,0.8 ,0.5 ,0.5 ,0.4 ,0.5 ,
Jun-1994,61.9 ,1.8 ,2.3 ,2.5 ,2.6 ,1.9 ,2.1 ,2.2 ,2.0 ,2.3 ,0.7 ,0.7 ,0.8 ,0.5 ,1.0 ,0.2 ,0.5 ,0.5 ,0.6 ,0.6 ,
Sep-1994,62.3 ,2.0 ,2.5 ,2.3 ,2.5 ,1.7 ,2.4 ,2.4 ,2.1 ,2.3 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.5 ,0.7 ,0.7 ,0.5 ,0.6 ,
Dec-1994,62.8 ,2.6 ,2.4 ,2.3 ,2.3 ,2.0 ,2.3 ,2.3 ,2.0 ,2.2 ,0.8 ,1.0 ,0.5 ,0.6 ,0.4 ,0.5 ,0.6 ,0.6 ,0.5 ,0.5 ,
Mar-1995,63.8 ,3.7 ,2.8 ,2.4 ,2.9 ,1.5 ,2.7 ,2.7 ,2.1 ,2.3 ,1.6 ,1.6 ,0.9 ,0.6 ,1.0 ,0.3 ,0.8 ,0.8 ,0.5 ,0.6 ,
Jun-1995,64.7 ,4.5 ,3.2 ,3.0 ,3.0 ,1.9 ,3.3 ,3.3 ,2.3 ,2.5 ,1.4 ,1.3 ,1.1 ,1.2 ,1.1 ,0.6 ,1.2 ,1.2 ,0.8 ,0.9 ,
Sep-1995,65.5 ,5.1 ,3.8 ,3.7 ,4.0 ,2.4 ,3.6 ,3.6 ,2.6 ,3.0 ,1.2 ,1.2 ,1.3 ,1.2 ,1.6 ,0.9 ,1.0 ,1.0 ,0.9 ,1.0 ,
Dec-1995,66.0 ,5.1 ,4.1 ,4.0 ,4.1 ,2.2 ,4.0 ,4.0 ,2.8 ,3.2 ,0.8 ,0.8 ,0.7 ,0.9 ,0.4 ,0.4 ,1.1 ,1.1 ,0.6 ,0.7 ,
Mar-1996,66.2 ,3.8 ,3.5 ,3.8 ,3.5 ,2.4 ,3.6 ,3.6 ,2.8 ,3.2 ,0.3 ,0.5 ,0.4 ,0.5 ,0.5 ,0.5 ,0.4 ,0.4 ,0.6 ,0.6 ,
Jun-1996,66.7 ,3.1 ,3.2 ,3.3 ,3.1 ,2.1 ,3.2 ,3.2 ,2.8 ,3.0 ,0.8 ,0.6 ,0.7 ,0.5 ,0.6 ,0.3 ,0.8 ,0.8 ,0.7 ,0.7 ,
Sep-1996,66.9 ,2.1 ,2.3 ,2.6 ,1.5 ,1.2 ,3.1 ,3.1 ,2.5 ,2.5 ,0.3 ,0.3 ,0.4 ,0.5 ,0.0 ,0.1 ,0.9 ,0.9 ,0.6 ,0.5 ,
Dec-1996,67.0 ,1.5 ,2.2 ,2.3 ,1.6 ,1.0 ,2.9 ,2.9 ,2.4 ,2.4 ,0.1 ,0.3 ,0.7 ,0.5 ,0.6 ,0.1 ,0.8 ,0.8 ,0.6 ,0.6 ,
Mar-1997,67.1 ,1.4 ,2.6 ,2.3 ,1.3 ,0.3 ,3.8 ,3.8 ,2.5 ,2.5 ,0.1 ,0.0 ,0.7 ,0.6 ,0.2 ,-0.2 ,1.2 ,1.2 ,0.6 ,0.7 ,
Jun-1997,66.9 ,0.3 ,2.1 ,2.1 ,0.5 ,0.0 ,3.8 ,3.8 ,2.2 ,2.1 ,-0.3 ,-0.3 ,0.3 ,0.4 ,-0.2 ,0.0 ,0.8 ,0.8 ,0.4 ,0.4 ,
Sep-1997,66.6 ,-0.4 ,1.5 ,1.7 ,0.3 ,0.1 ,2.9 ,2.9 ,1.8 ,1.8 ,-0.4 ,-0.3 ,-0.1 ,0.1 ,-0.2 ,0.2 ,0.0 ,0.0 ,0.2 ,0.2 ,
Dec-1997,66.8 ,-0.3 ,1.5 ,1.6 ,0.2 ,0.2 ,2.9 ,2.9 ,1.9 ,1.9 ,0.3 ,0.3 ,0.7 ,0.7 ,0.4 ,0.2 ,0.9 ,0.9 ,0.7 ,0.7 ,
Mar-1998,67.0 ,-0.1 ,1.1 ,1.6 ,0.2 ,0.8 ,2.1 ,2.1 ,1.9 ,1.7 ,0.3 ,0.1 ,0.3 ,0.4 ,0.2 ,0.4 ,0.4 ,0.4 ,0.6 ,0.5 ,
Jun-1998,67.4 ,0.7 ,1.4 ,1.6 ,0.6 ,0.6 ,2.4 ,2.4 ,2.0 ,1.9 ,0.6 ,0.6 ,0.6 ,0.5 ,0.2 ,-0.2 ,1.0 ,1.0 ,0.6 ,0.5 ,
Sep-1998,67.5 ,1.4 ,1.7 ,1.9 ,0.9 ,0.5 ,2.8 ,2.8 ,2.3 ,1.9 ,0.1 ,0.3 ,0.3 ,0.3 ,0.2 ,0.1 ,0.4 ,0.4 ,0.5 ,0.3 ,
Dec-1998,67.8 ,1.5 ,1.5 ,1.6 ,0.6 ,0.2 ,2.5 ,2.5 ,2.2 ,1.7 ,0.4 ,0.4 ,0.5 ,0.4 ,0.3 ,0.0 ,0.6 ,0.6 ,0.6 ,0.4 ,
Mar-1999,67.8 ,1.2 ,1.2 ,1.0 ,0.6 ,0.0 ,1.7 ,1.7 ,2.3 ,1.7 ,0.0 ,-0.1 ,-0.1 ,-0.1 ,0.2 ,0.2 ,-0.4 ,-0.4 ,0.7 ,0.5 ,
Jun-1999,68.1 ,1.0 ,1.0 ,0.9 ,1.0 ,0.4 ,1.2 ,1.2 ,2.2 ,1.7 ,0.4 ,0.4 ,0.5 ,0.4 ,0.4 ,0.2 ,0.5 ,0.5 ,0.5 ,0.4 ,
Sep-1999,68.7 ,1.8 ,1.8 ,1.2 ,1.7 ,0.5 ,1.7 ,1.7 ,2.4 ,2.1 ,0.9 ,0.9 ,0.9 ,0.6 ,0.8 ,0.1 ,0.9 ,0.9 ,0.7 ,0.8 ,
Dec-1999,69.1 ,1.9 ,1.8 ,1.4 ,1.2 ,0.3 ,2.1 ,2.1 ,2.6 ,2.3 ,0.6 ,0.6 ,0.5 ,0.5 ,-0.2 ,-0.1 ,1.0 ,1.0 ,0.7 ,0.6 ,
Mar-2000,69.7 ,2.8 ,2.5 ,1.9 ,1.6 ,-0.2 ,3.4 ,3.4 ,2.5 ,2.5 ,0.9 ,0.9 ,0.7 ,0.4 ,0.6 ,-0.4 ,0.8 ,0.8 ,0.5 ,0.7 ,
Jun-2000,70.2 ,3.1 ,2.8 ,2.1 ,1.7 ,-0.2 ,3.6 ,3.6 ,2.5 ,2.6 ,0.7 ,0.7 ,0.6 ,0.5 ,0.4 ,0.1 ,0.8 ,0.8 ,0.6 ,0.5 ,
Sep-2000,72.9 ,6.1 ,2.7 ,2.1 ,2.4 ,0.5 ,2.8 ,2.8 ,2.1 ,2.4 ,3.8 ,3.8 ,0.8 ,0.4 ,1.7 ,0.9 ,0.0 ,0.0 ,0.2 ,0.6 ,
Dec-2000,73.1 ,5.8 ,2.5 ,1.9 ,2.9 ,0.7 ,2.1 ,2.2 ,2.0 ,2.4 ,0.3 ,0.3 ,0.4 ,0.3 ,0.2 ,-0.1 ,0.4 ,0.4 ,0.6 ,0.6 ,
Mar-2001,73.9 ,6.0 ,2.9 ,2.3 ,4.0 ,2.3 ,1.8 ,1.8 ,2.4 ,2.7 ,1.1 ,1.1 ,1.1 ,0.9 ,1.6 ,1.4 ,0.5 ,0.5 ,0.9 ,1.0 ,
Jun-2001,74.5 ,6.1 ,3.0 ,2.8 ,4.5 ,3.4 ,1.7 ,1.7 ,2.6 ,3.0 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,1.1 ,0.7 ,0.7 ,0.8 ,0.8 ,
Sep-2001,74.7 ,2.5 ,2.5 ,3.0 ,2.4 ,3.0 ,2.6 ,2.6 ,3.1 ,3.1 ,0.3 ,0.3 ,0.3 ,0.7 ,-0.4 ,0.5 ,0.9 ,0.9 ,0.7 ,0.7 ,
Dec-2001,75.4 ,3.1 ,3.1 ,3.7 ,3.1 ,4.0 ,3.2 ,3.1 ,3.3 ,3.3 ,0.9 ,0.9 ,1.0 ,1.0 ,0.9 ,0.9 ,1.0 ,1.0 ,0.8 ,0.9 ,
Mar-2002,76.1 ,3.0 ,3.0 ,3.6 ,2.4 ,3.5 ,3.6 ,3.5 ,3.1 ,3.1 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,1.0 ,0.9 ,0.9 ,0.7 ,0.7 ,
Jun-2002,76.6 ,2.8 ,2.8 ,3.3 ,1.8 ,2.4 ,3.9 ,3.8 ,3.0 ,3.0 ,0.7 ,0.7 ,0.7 ,0.6 ,0.3 ,0.1 ,0.9 ,0.9 ,0.7 ,0.6 ,
Sep-2002,77.1 ,3.2 ,3.2 ,3.2 ,2.4 ,1.9 ,4.1 ,4.1 ,3.1 ,2.9 ,0.7 ,0.8 ,0.8 ,0.7 ,0.2 ,0.0 ,1.3 ,1.2 ,0.9 ,0.7 ,
Dec-2002,77.6 ,2.9 ,2.9 ,2.7 ,2.2 ,1.5 ,3.6 ,3.7 ,3.0 ,2.8 ,0.6 ,0.6 ,0.6 ,0.6 ,0.7 ,0.5 ,0.7 ,0.7 ,0.7 ,0.7 ,
Mar-2003,78.6 ,3.3 ,3.3 ,2.7 ,2.7 ,0.8 ,3.9 ,4.0 ,3.1 ,2.9 ,1.3 ,1.3 ,1.3 ,0.8 ,1.4 ,0.2 ,1.1 ,1.2 ,0.7 ,0.8 ,
Jun-2003,78.6 ,2.6 ,2.6 ,2.7 ,1.0 ,0.6 ,4.2 ,4.1 ,2.8 ,2.8 ,0.0 ,-0.1 ,-0.1 ,0.6 ,-1.2 ,-0.1 ,1.0 ,1.0 ,0.5 ,0.5 ,
Sep-2003,79.1 ,2.6 ,2.6 ,2.7 ,0.7 ,0.3 ,4.1 ,4.1 ,2.6 ,2.8 ,0.6 ,0.6 ,0.6 ,0.6 ,-0.1 ,-0.4 ,1.2 ,1.2 ,0.7 ,0.7 ,
Dec-2003,79.5 ,2.4 ,2.4 ,2.5 ,0.1 ,-0.7 ,4.5 ,4.4 ,2.7 ,2.7 ,0.5 ,0.6 ,0.6 ,0.5 ,0.2 ,-0.3 ,1.0 ,1.0 ,0.8 ,0.7 ,
Mar-2004,80.2 ,2.0 ,2.0 ,2.1 ,-0.6 ,-1.1 ,4.2 ,4.2 ,2.6 ,2.6 ,0.9 ,0.8 ,0.8 ,0.4 ,0.6 ,-0.4 ,0.9 ,0.9 ,0.7 ,0.7 ,
Jun-2004,80.6 ,2.5 ,2.5 ,2.0 ,0.5 ,-1.3 ,4.0 ,4.1 ,2.8 ,2.6 ,0.5 ,0.5 ,0.5 ,0.5 ,-0.1 ,-0.2 ,0.9 ,0.9 ,0.6 ,0.6 ,
Sep-2004,80.9 ,2.3 ,2.3 ,1.7 ,0.7 ,-1.1 ,3.7 ,3.6 ,2.8 ,2.6 ,0.4 ,0.4 ,0.4 ,0.4 ,-0.1 ,-0.2 ,0.8 ,0.8 ,0.6 ,0.6 ,
Dec-2004,81.5 ,2.5 ,2.5 ,2.0 ,1.3 ,-0.4 ,3.5 ,3.6 ,2.6 ,2.7 ,0.7 ,1.0 ,1.0 ,0.7 ,1.0 ,0.4 ,0.8 ,0.9 ,0.7 ,0.8 ,
Mar-2005,82.1 ,2.4 ,2.4 ,2.3 ,0.7 ,0.0 ,3.7 ,3.7 ,2.7 ,2.7 ,0.7 ,0.5 ,0.5 ,0.7 ,-0.1 ,0.0 ,1.2 ,1.1 ,0.7 ,0.6 ,
Jun-2005,82.6 ,2.5 ,2.5 ,2.2 ,1.2 ,0.3 ,3.6 ,3.5 ,2.8 ,2.7 ,0.6 ,0.6 ,0.6 ,0.5 ,0.3 ,0.0 ,0.6 ,0.7 ,0.7 ,0.6 ,
Sep-2005,83.4 ,3.1 ,3.1 ,2.4 ,2.6 ,0.7 ,3.4 ,3.5 ,2.7 ,2.7 ,1.0 ,1.0 ,1.0 ,0.5 ,1.3 ,0.2 ,0.8 ,0.8 ,0.6 ,0.6 ,
Dec-2005,83.8 ,2.8 ,2.8 ,2.3 ,1.9 ,0.1 ,3.5 ,3.5 ,2.8 ,2.6 ,0.5 ,0.6 ,0.6 ,0.6 ,0.3 ,-0.2 ,0.9 ,0.8 ,0.8 ,0.7 ,
Mar-2006,84.5 ,2.9 ,2.9 ,2.2 ,2.9 ,0.7 ,3.1 ,3.3 ,2.9 ,2.8 ,0.8 ,0.8 ,0.8 ,0.7 ,0.9 ,0.6 ,0.8 ,0.9 ,0.8 ,0.8 ,
Jun-2006,85.9 ,4.0 ,4.0 ,2.5 ,4.8 ,0.5 ,3.4 ,3.6 ,3.1 ,3.0 ,1.7 ,1.5 ,1.5 ,0.6 ,2.2 ,-0.1 ,1.0 ,1.0 ,0.9 ,0.8 ,
Sep-2006,86.7 ,4.0 ,4.0 ,2.6 ,4.4 ,0.9 ,3.5 ,3.8 ,3.4 ,3.1 ,0.9 ,0.8 ,0.8 ,0.7 ,1.0 ,0.6 ,0.9 ,0.9 ,0.8 ,0.7 ,
Dec-2006,86.6 ,3.3 ,3.3 ,2.7 ,3.0 ,1.2 ,3.5 ,3.8 ,3.1 ,3.0 ,-0.1 ,0.1 ,0.1 ,0.6 ,-1.2 ,0.1 ,0.9 ,0.9 ,0.5 ,0.6 ,
Mar-2007,86.6 ,2.5 ,2.5 ,2.6 ,1.0 ,0.7 ,3.5 ,3.7 ,2.8 ,2.7 ,0.0 ,0.0 ,0.0 ,0.5 ,-1.0 ,0.2 ,0.7 ,0.8 ,0.6 ,0.6 ,
Jun-2007,87.7 ,2.1 ,2.1 ,2.6 ,0.3 ,1.4 ,3.3 ,3.6 ,2.8 ,2.8 ,1.3 ,1.2 ,1.2 ,0.7 ,1.4 ,0.4 ,1.0 ,0.9 ,0.9 ,0.9 ,
Sep-2007,88.3 ,1.8 ,1.8 ,2.6 ,-0.3 ,0.8 ,3.5 ,3.6 ,3.0 ,2.9 ,0.7 ,0.6 ,0.6 ,0.6 ,0.3 ,0.1 ,0.8 ,0.8 ,1.0 ,0.9 ,
Dec-2007,89.1 ,2.9 ,2.9 ,3.0 ,1.4 ,1.2 ,4.0 ,3.9 ,3.8 ,3.6 ,0.9 ,1.2 ,1.2 ,1.2 ,0.9 ,0.6 ,1.5 ,1.4 ,1.3 ,1.2 ,
Mar-2008,90.3 ,4.3 ,4.3 ,3.6 ,3.3 ,1.3 ,4.9 ,4.7 ,4.5 ,4.2 ,1.3 ,1.2 ,1.2 ,1.0 ,0.7 ,0.3 ,1.4 ,1.5 ,1.3 ,1.1 ,
Jun-2008,91.6 ,4.4 ,4.4 ,4.2 ,2.9 ,1.6 ,5.6 ,4.8 ,4.8 ,4.4 ,1.4 ,1.3 ,1.3 ,1.4 ,0.8 ,0.7 ,1.7 ,1.1 ,1.1 ,1.2 ,
Sep-2008,92.7 ,5.0 ,5.0 ,4.6 ,3.3 ,1.8 ,6.1 ,5.3 ,5.1 ,4.8 ,1.2 ,1.1 ,1.1 ,0.9 ,0.8 ,0.2 ,1.4 ,1.2 ,1.3 ,1.2 ,
Dec-2008,92.4 ,3.7 ,3.7 ,4.0 ,1.2 ,1.5 ,5.4 ,5.0 ,4.6 ,4.3 ,-0.3 ,0.0 ,0.0 ,0.7 ,-1.2 ,0.3 ,0.8 ,1.0 ,0.9 ,0.7 ,
Mar-2009,92.5 ,2.4 ,2.4 ,3.2 ,0.9 ,2.6 ,3.4 ,4.2 ,4.6 ,4.1 ,0.1 ,-0.1 ,-0.1 ,0.2 ,0.3 ,1.3 ,-0.3 ,0.8 ,1.2 ,0.9 ,
Jun-2009,92.9 ,1.4 ,1.4 ,2.5 ,0.0 ,2.3 ,2.5 ,4.2 ,4.2 ,3.6 ,0.4 ,0.5 ,0.5 ,0.6 ,0.2 ,0.4 ,0.7 ,1.1 ,0.8 ,0.7 ,
Sep-2009,93.8 ,1.2 ,1.2 ,2.4 ,-0.4 ,2.3 ,2.3 ,4.0 ,3.8 ,3.1 ,1.0 ,0.8 ,0.8 ,0.8 ,0.3 ,0.2 ,1.2 ,1.0 ,0.9 ,0.8 ,
Dec-2009,94.3 ,2.1 ,2.1 ,2.5 ,1.4 ,2.1 ,2.7 ,4.1 ,3.9 ,3.2 ,0.5 ,0.9 ,0.9 ,0.7 ,0.5 ,0.2 ,1.0 ,1.1 ,0.9 ,0.8 ,
Mar-2010,95.2 ,2.9 ,2.9 ,2.9 ,1.0 ,0.3 ,4.2 ,4.4 ,3.5 ,3.1 ,1.0 ,0.7 ,0.7 ,0.7 ,0.1 ,-0.5 ,1.2 ,1.1 ,0.8 ,0.8 ,
Jun-2010,95.8 ,3.1 ,3.1 ,2.9 ,1.4 ,-0.6 ,4.1 ,4.0 ,3.2 ,2.8 ,0.6 ,0.6 ,0.6 ,0.7 ,0.5 ,-0.4 ,0.7 ,0.7 ,0.5 ,0.4 ,
Sep-2010,96.5 ,2.9 ,2.9 ,3.0 ,1.3 ,-0.5 ,3.8 ,3.8 ,2.8 ,2.6 ,0.7 ,0.6 ,0.6 ,0.8 ,0.2 ,0.2 ,0.7 ,0.8 ,0.5 ,0.6 ,
Dec-2010,96.9 ,2.8 ,2.8 ,2.4 ,1.7 ,-1.4 ,3.3 ,3.5 ,2.6 ,2.2 ,0.4 ,0.6 ,0.6 ,0.3 ,0.8 ,-0.6 ,0.6 ,0.8 ,0.7 ,0.4 ,
Mar-2011,98.3 ,3.3 ,3.3 ,2.6 ,3.3 ,-0.9 ,3.3 ,3.3 ,2.5 ,2.2 ,1.4 ,1.4 ,1.4 ,0.8 ,1.6 ,0.0 ,1.3 ,0.9 ,0.8 ,0.8 ,
Jun-2011,99.2 ,3.5 ,3.5 ,2.6 ,3.6 ,-0.6 ,3.6 ,3.5 ,2.9 ,2.7 ,0.9 ,0.9 ,0.9 ,0.7 ,1.1 ,-0.1 ,0.9 ,0.9 ,0.9 ,0.8 ,
Sep-2011,99.8 ,3.4 ,3.4 ,2.3 ,3.3 ,-0.9 ,3.6 ,3.4 ,2.7 ,2.5 ,0.6 ,0.4 ,0.4 ,0.4 ,-0.5 ,-0.5 ,0.9 ,0.9 ,0.2 ,0.4 ,
Dec-2011,99.8 ,3.0 ,3.0 ,2.6 ,1.7 ,-0.7 ,4.0 ,3.6 ,2.5 ,2.7 ,0.0 ,0.2 ,0.2 ,0.5 ,-0.8 ,-0.4 ,0.9 ,0.9 ,0.5 ,0.6 ,
Mar-2012,99.9 ,1.6 ,1.6 ,2.0 ,-1.5 ,-1.3 ,3.6 ,3.5 ,2.2 ,2.3 ,0.1 ,0.0 ,0.0 ,0.4 ,-1.2 ,-0.4 ,0.7 ,0.7 ,0.5 ,0.4 ,
Jun-2012,100.4 ,1.2 ,1.2 ,1.8 ,-2.0 ,-1.3 ,3.4 ,3.4 ,1.9 ,2.0 ,0.5 ,0.6 ,0.6 ,0.5 ,0.4 ,0.0 ,0.7 ,0.7 ,0.6 ,0.5 ,
Sep-2012,101.8 ,2.0 ,2.0 ,2.4 ,-1.2 ,-0.8 ,4.0 ,4.0 ,2.5 ,2.3 ,1.4 ,1.1 ,1.1 ,1.1 ,0.4 ,0.0 ,1.7 ,1.7 ,0.9 ,0.7 ,
Dec-2012,102.0 ,2.2 ,2.2 ,2.4 ,-0.4 ,-0.7 ,3.9 ,3.9 ,2.6 ,2.2 ,0.2 ,0.4 ,0.4 ,0.5 ,-0.3 ,-0.5 ,0.8 ,0.8 ,0.6 ,0.5 ,
Mar-2013,102.4 ,2.5 ,2.5 ,2.4 ,-0.2 ,-1.4 ,4.2 ,4.2 ,2.8 ,2.3 ,0.4 ,0.4 ,0.4 ,0.4 ,-0.7 ,-0.9 ,1.0 ,1.0 ,0.7 ,0.5 ,
Jun-2013,102.8 ,2.4 ,2.4 ,2.6 ,-0.7 ,-1.3 ,4.3 ,4.3 ,2.8 ,2.4 ,0.4 ,0.5 ,0.5 ,0.6 ,0.1 ,0.1 ,0.8 ,0.8 ,0.6 ,0.6 ,
Sep-2013,104.0 ,2.2 ,2.2 ,2.4 ,-0.1 ,-1.1 ,3.6 ,3.6 ,2.5 ,2.4 ,1.2 ,1.0 ,1.0 ,0.8 ,0.8 ,0.3 ,1.0 ,1.0 ,0.6 ,0.7 ,
Dec-2013,104.8 ,2.7 ,2.7 ,2.6 ,1.0 ,-0.1 ,3.7 ,3.7 ,2.6 ,2.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.4 ,0.8 ,0.8 ,0.7 ,0.8 ,
Mar-2014,105.4 ,2.9 ,2.9 ,2.7 ,2.6 ,0.8 ,3.1 ,3.1 ,2.4 ,2.7 ,0.6 ,0.7 ,0.7 ,0.5 ,0.9 ,0.0 ,0.5 ,0.5 ,0.6 ,0.5 ,
Jun-2014,105.9 ,3.0 ,3.0 ,2.8 ,2.9 ,1.2 ,3.1 ,3.1 ,2.5 ,2.8 ,0.5 ,0.7 ,0.7 ,0.8 ,0.4 ,0.5 ,0.7 ,0.7 ,0.6 ,0.7 ,
Sep-2014,106.4 ,2.3 ,2.3 ,2.1 ,2.0 ,0.4 ,2.4 ,2.4 ,2.4 ,2.4 ,0.5 ,0.2 ,0.2 ,0.2 ,0.0 ,-0.5 ,0.4 ,0.4 ,0.5 ,0.4 ,
Dec-2014,106.6 ,1.7 ,1.7 ,2.1 ,0.7 ,0.0 ,2.3 ,2.3 ,2.4 ,2.2 ,0.2 ,0.2 ,0.2 ,0.5 ,-0.8 ,-0.1 ,0.7 ,0.7 ,0.6 ,0.6 ,
Mar-2015,106.8 ,1.3 ,1.3 ,2.3 ,-0.9 ,0.4 ,2.6 ,2.6 ,2.4 ,2.3 ,0.2 ,0.3 ,0.3 ,0.7 ,-0.5 ,0.4 ,0.8 ,0.8 ,0.6 ,0.6 ,
